,fire_name,severity,fire_ig_date,dnbr_mean,pre_fire_ndvi,agbd,agbd_cf,agbd_diff,agbd_rel,rh_98,rh_98_cf,rh_98_diff,rh_98_rel,pai,pai_cf,pai_diff,pai_rel,rh_70,rh_70_cf,rh_70_diff,rh_70_rel,ndvi,ndvi_cf,ndvi_diff,ndvi_rel,rh_50,rh_50_cf,rh_50_diff,rh_50_rel
566,JACKSON,1.0,2001-06-13,14.419917745180717,0.0186734719385739,20.880773972253817,3.945411986326837,22.087816048689053,0.44127654825090207,1.6482779796322942,0.43581912766766767,1.7467290782204186,0.15674767748809929,0.1917578739163441,0.08386561843949,0.2045470714023452,0.17253271722412855,0.968841052778885,0.38366345564984766,0.9648335640758842,0.17608281905479684,0.019482359474876126,0.013195763518952427,0.010887131999576317,0.022212226473130203,0.8404106668028857,0.29110424183505185,0.8321292495811882,0.2646782223688539
567,JACKSON,2.0,2001-06-13,33.74374942118911,0.012389889456920104,9.958574965258173,4.919715011561992,6.687678669094849,0.17178066235894937,1.9791049388080066,0.7981048439972491,1.2871784919538427,0.14215668775466475,0.1481122337412159,0.10668228960921834,0.15925454444457918,0.20489513691747885,1.1134209459929831,0.36978474797248895,0.883820863019464,0.2581598313885372,0.007739962710572894,0.010927200546526463,0.014206752678747516,0.028701929377694904,0.40815386614757954,0.25571342006696296,0.3317136591691663,0.28682136906880906
568,JACOBSON,0.0,2016-10-21,4.000806179874523,0.008478609120396214,7.699114883350959,5.649110610632594,7.672752849094903,0.06351792513746149,0.635585975209486,0.5165347702485253,0.6800517478400027,0.03328578809045932,0.07764877109005335,0.04750722241429532,0.06871390786238951,0.06595945672965552,0.5462817002370882,0.4029833021936938,0.47672616834359755,0.06693366966905583,0.00657431425325216,0.007718536577130335,0.00461109709179331,0.008375326667973772,0.3218976238698476,0.2684441478431113,0.2620973354697285,0.10420764800323915
569,JACOBSON,1.0,2016-10-21,6.3494581117429245,0.008511885349084569,11.276916537907267,6.616696058978455,12.90471512733411,0.08165072618833355,1.0574677202594531,0.5962132205164077,1.1550113287238306,0.04746817770482516,0.19766377365046006,0.06162512529654107,0.18188541581046314,0.10351070325158601,0.8182187546585711,0.47592317606132645,0.8304801618907354,0.07563163028291318,0.00899459795156524,0.007629974070405176,0.006748116979548202,0.010956946624592132,0.6083758544425044,0.30864749906781946,0.5799173415999906,0.10215740805414052
570,JACOBSON,2.0,2016-10-21,9.277586736572914,0.0048857281610659815,4.909034254493543,4.257944451301367,6.260186782097022,0.027675106936127757,0.5121068712528573,0.3651651442652497,0.5958561361483178,0.01949317345228063,0.06493066770599257,0.032849408058587916,0.07135006990719876,0.04259585803001148,0.16713905676522206,0.3045076892953005,0.3406573192893688,0.01726070962839033,0.005617284851495616,0.0038072560559811275,0.00391701642502963,0.00639145550171145,0.13686243949540522,0.1993397246269338,0.235517216187048,0.028889693428173796
571,JAWBONE COMPLEX,0.0,2012-08-10,5.108934553131927,0.008292827519060405,3.8431388497688945,2.0118045776738307,4.109693185721817,0.06224809778336028,0.4498708881640606,0.1668727809093882,0.4490491085472581,0.036476723198697304,0.10157137716114918,0.021372057157850694,0.10192100252840504,0.13255753219162644,0.31017395558522803,0.14643426331444123,0.32356650158528727,0.06263209239328206,0.010675294467996954,0.00837463202077432,0.007637894724785969,0.015272386745881626,0.27307509235202854,0.09041475909938887,0.2768286676823723,0.12880548722479954
572,JAWBONE COMPLEX,1.0,2012-08-10,6.5375898184042365,0.00835417132142275,5.140469569350686,1.6433152647648293,4.9506134902809125,0.08415217660018529,0.541971891306608,0.16679270972587712,0.510472920682094,0.04387673346362899,0.11282294048587688,0.030057221237855054,0.11156384084464324,0.14183813581352384,0.3910644894662588,0.13596672127141124,0.379970119988738,0.083008135421585,0.008809099253987792,0.007346301946373862,0.004816556276883077,0.01304436347427317,0.33434441862916126,0.09338338997536007,0.331167954915974,0.17907259423754168
573,JAWBONE COMPLEX,2.0,2012-08-10,6.840196475174659,0.003312699719767474,1.3505366034613941,0.7053472415768914,1.411459493249912,0.02464070089787132,0.1815698520238497,0.06456209687839923,0.17627820413808645,0.015209285772981493,0.031475385392800224,0.010763597519538173,0.03226088444997253,0.041851736675466045,0.10359449363900464,0.05324647864140062,0.10737287989900314,0.023558062023193046,0.003262450324741372,0.003048128338572988,0.0022109706047261295,0.004804891869283258,0.08041466101349254,0.03698586172964419,0.08538131254582947,0.050431330164775606
574,JONES,0.0,1999-10-16,3.9218416537332836,0.003549326282094551,1.9285594426591162,0.6703054712973345,1.8209301777899107,0.02889825223889889,0.2969582119177843,0.07774402818873463,0.2882081550459719,0.02175201875082845,0.05746525725327153,0.013733538839685427,0.05541953892263988,0.05883754113720938,0.1892679835182769,0.05672317215200144,0.1808275027584099,0.03650628894404403,0.003842784466848856,0.0032243543603312588,0.002456855442891521,0.004702800355818671,0.13587413060419531,0.044316406312449395,0.12840046027376065,0.06349560645807706
575,JONES,1.0,1999-10-16,3.4314501709288856,0.004268604441913746,2.922358880373276,0.9524400984940213,2.757042888722107,0.04138453442303357,0.40671135421955285,0.10292688263074568,0.3868290793296679,0.02735709200584848,0.09121092959021715,0.020172650412614918,0.08852459324386427,0.07665632207457909,0.2599374203009663,0.08441402312070963,0.24260640207610326,0.044504882511294655,0.0052876940542944464,0.004282215017431328,0.0032467320252218593,0.005645722968419742,0.21677584907084194,0.07111382297588813,0.2064923801463756,0.08225418136991816
576,JONES,2.0,1999-10-16,6.95670196612845,0.005355639304729085,3.4311004955620525,1.313269051176428,3.47799129566864,0.04641232616513032,0.4986110028298004,0.13925094932454954,0.49113671419239124,0.033303689312807576,0.10891091974136993,0.03488071783561866,0.1089672069599165,0.09151931163130268,0.3291383215231701,0.13941475211055468,0.33814292802524,0.053789734264215766,0.007821517927757454,0.005368171803195437,0.006282658880444819,0.01017891721354091,0.2902610242071711,0.1215202570372498,0.2963940931922826,0.10013708104481699
