,fire_name,severity,fire_ig_date,dnbr_mean,pre_fire_ndvi,agbd,agbd_cf,agbd_diff,agbd_rel,rh_98,rh_98_cf,rh_98_diff,rh_98_rel,pai,pai_cf,pai_diff,pai_rel,rh_70,rh_70_cf,rh_70_diff,rh_70_rel,ndvi,ndvi_cf,ndvi_diff,ndvi_rel,rh_50,rh_50_cf,rh_50_diff,rh_50_rel,fire_ig_year
0,1-12,0.0,2020-08-24,38.0,0.8091844497790175,164.40682220458984,162.30381486560913,2.1030073389807313,1.0368030173136706,24.15999984741211,22.05146273450528,2.1085371129068307,1.099057015216338,2.854390025138855,2.909555813103821,-0.05516578796496585,0.9695129999491823,14.144999980926514,13.111658802067662,1.0333411788588505,1.0923631851717972,0.7348783672272361,0.7607634623098118,-0.025885095082575693,0.9651373098477041,9.994999885559082,9.943059762689208,0.05194012286987437,1.0266224359750413,2020
1,49R,0.0,1988-09-11,25.700704225352112,0.5041721078105719,80.11540118436044,87.87254772631138,-7.75714654195094,0.9117504669338303,15.754321396274543,15.973991829268583,-0.21967043299403977,0.9854379626537624,1.2950894115433078,1.4347957970162883,-0.13970638547298062,0.9169134536672472,6.933649164232188,7.700743943431744,-0.7670947791995559,0.9017782214511728,0.5916035674736708,0.6002349085580023,-0.008631341084331536,0.9867134903690894,3.493476316235034,4.2152965199570245,-0.7218202037219899,0.8406079710350246,1988
2,49R,1.0,1988-09-11,283.7846687211094,0.5673076914299067,78.60008044162039,106.4995103495642,-27.899429907943812,0.7423985424700315,15.52340523818241,17.772820327302526,-2.249415089120116,0.8697129391551871,1.4767160874551797,1.7393829311463231,-0.2626668436911435,0.8479371892530031,6.863359021571091,9.07389033411839,-2.2105313125473,0.7565096394763399,0.6588994559712774,0.6517090243643545,0.007190431606922957,1.0120253076142678,3.826240380327626,5.445409852298109,-1.6191694719704834,0.7144482357324156,1988
3,49R,2.0,1988-09-11,550.2000959692898,0.6220199697134362,71.20292722112616,123.42853010200486,-52.22560288087869,0.5874717439590472,13.4266948105964,19.34073331967727,-5.914038509080871,0.6954885196106281,1.5364628455956464,2.0128931350835875,-0.47643028948794097,0.7519295478635533,6.53185028825277,10.43202432188889,-3.9001740336361217,0.625234903640921,0.6852921743804805,0.6964822493197408,-0.011190074939260254,0.9841830885837715,3.913973129361925,6.632681726475955,-2.7187085971140297,0.5818267364527782,1988
4,A-ROCK,0.0,1990-08-07,71.18529411764706,0.595018345117569,157.04452516892377,153.291490487222,3.7530346817017644,1.0563352057453135,24.63764704535989,22.607024741623544,2.0306223037363473,1.1069789339985014,1.7494571273379467,1.8525521958812938,-0.10309506854334696,0.9301993209248944,10.959176506715663,11.139057455744032,-0.17988094902836982,0.9841837692628492,0.6063589907905306,0.6402111719857383,-0.03385218119520764,0.9426960281928888,6.0048235348918855,6.5153787238793965,-0.5105551889875105,0.8797196205922245,1990
5,A-ROCK,1.0,1990-08-07,273.23979591836735,0.6426162932600293,109.63042237807294,147.31487590113056,-37.68445352305763,0.7678215190312662,18.396224523077205,21.50979598172121,-3.113571458644005,0.8633069008308092,2.0746280209170846,2.147633019478625,-0.07300499856154032,0.9840630223219073,9.268061260179598,11.268969765679994,-2.0009085055003957,0.8476957083548763,0.6663031510918601,0.6740641558116209,-0.007761004719760766,0.9865811962214313,5.691428584008649,7.203073549677651,-1.5116449656690019,0.8240621679202451,1990
6,A-ROCK,2.0,1990-08-07,591.0268595041322,0.6448108507089378,71.07604370432452,126.24931377481222,-55.17327007048769,0.5937969957687806,13.269090895810404,19.215301280892962,-5.946210385082561,0.7021509367984773,1.6827045347857144,2.1134682838528716,-0.43076374906715725,0.8151695800240275,6.641074381830278,10.375032921277377,-3.7339585394470975,0.6616650275279834,0.6733545299339174,0.675676801486286,-0.002322271552368494,0.9949511578388788,4.15983471024997,6.740528991501946,-2.580694281251976,0.6410581373409778,1990
7,ACKERSON COMPLEX (ACKERSON),0.0,1996-08-14,103.29166666666667,0.5661618237694105,132.92151071230572,125.129943475508,7.791567236797719,0.952707285729774,22.056000073750813,21.114416343249463,0.9415837305013497,1.015223799552578,1.0214902385448417,1.2713310163703584,-0.24984077782551672,0.8089064721806063,6.754999985297521,8.858000221268528,-2.103000235971007,0.7782733447757414,0.5840304044835025,0.6096049471392239,-0.025574542655721455,0.9526360050234033,2.6206666717305778,4.0147097163719865,-1.394043044641408,0.6766952976994344,1996
8,ACKERSON COMPLEX (ACKERSON),1.0,1996-08-14,243.83333333333334,0.6107624570528666,124.34806330998738,116.38768555979368,7.960377750193714,1.0705120761370426,22.176666776339214,19.646982506308067,2.529684270031145,1.1727550489113387,1.4257721584290266,1.5755273761478659,-0.14975521771883932,1.066409539398266,8.606249953309694,8.902947107421227,-0.29669715411153147,0.9869495680608033,0.6064639679073524,0.6320038453644002,-0.025539877457047905,0.9573264144763661,3.622916672456389,4.8559402644954455,-1.2330235920390573,0.9472177665015206,1996
9,ACKERSON COMPLEX (ACKERSON),2.0,1996-08-14,452.21875,0.6153119970113039,72.76892256736755,142.06783730590706,-69.29891473853951,0.574631833918976,15.213750004768372,22.579841499896006,-7.366091495127636,0.7138393690518889,1.3237685909261927,1.6669831942264048,-0.34321460330021225,0.7336271270118272,6.03999999165535,10.195911253598654,-4.155911261943304,0.6098237743094086,0.5993426574400661,0.6556144976539068,-0.056271840213840685,0.9214347236194901,3.539999943226576,5.416585840290007,-1.8765858970634313,0.5765779989396931,1996
